nohup: ignoring input
/home/jiweon/.conda/envs/adlip/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
latent: torch.Size([1, 4, 12, 12])
Loaded checkpoint: /home/jiweon/projects/ADLip2/results/no_lambdamouthL/best.pt
Our SyncNetTemporal loaded & frozen: /home/jiweon/projects/lip-sync-score/logs/expN11/checkpoints/best.pth
/home/jiweon/projects/ADLip2/train.py:416: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
train videos=317 samples=31700
val videos=39 samples=3900
  samples saved: epoch 0
/home/jiweon/projects/ADLip2/train.py:497: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
[DEBUG our input] pred_A_imgs= torch.Size([2, 16, 3, 96, 96]) mel_pos= torch.Size([2, 1, 80, 52]) mel_neg= torch.Size([2, 1, 80, 52])
[ep1 iter100] loss=0.5468 latent=1.5345 same=0.4883 diff=0.0000 diff_dist=4.1329 silence=0.0123 smooth=1.5506 dA=4.6758 dN=4.7852 dZ=0.0123 mouth=0.0000 sync=0.0000 our=0.9145 d_pos=1.3519 d_neg=1.3541 pos=0.0000 neg=0.0000 dn=4.6758
[ep1 iter200] loss=0.5750 latent=1.6975 same=0.4201 diff=0.0000 diff_dist=4.3060 silence=0.0123 smooth=1.5217 dA=4.2188 dN=4.5000 dZ=0.0123 mouth=0.0000 sync=0.0000 our=0.9085 d_pos=1.3477 d_neg=1.3476 pos=0.0000 neg=0.0000 dn=4.2188
[ep1 iter300] loss=0.4879 latent=1.4233 same=0.3496 diff=0.0000 diff_dist=2.5566 silence=0.0123 smooth=1.0369 dA=3.5586 dN=3.7266 dZ=0.0123 mouth=0.0000 sync=0.0000 our=0.8783 d_pos=1.3254 d_neg=1.3253 pos=0.0000 neg=0.0000 dn=3.5586
[ep1 iter400] loss=0.5769 latent=1.7577 same=0.5121 diff=0.0000 diff_dist=4.4965 silence=0.0145 smooth=1.2963 dA=4.2383 dN=4.5664 dZ=0.0145 mouth=0.0000 sync=0.0000 our=0.9091 d_pos=1.3478 d_neg=1.3497 pos=0.0000 neg=0.0000 dn=4.2383
[ep1 iter500] loss=0.5057 latent=1.5299 same=0.4339 diff=0.0000 diff_dist=2.9788 silence=0.0139 smooth=1.0173 dA=3.3555 dN=3.4629 dZ=0.0139 mouth=0.0000 sync=0.0000 our=0.8636 d_pos=1.3142 d_neg=1.3149 pos=0.0000 neg=0.0000 dn=3.3555
[ep1 iter600] loss=0.5557 latent=1.7691 same=0.5031 diff=0.0000 diff_dist=3.4181 silence=0.0159 smooth=1.0197 dA=3.4062 dN=3.8848 dZ=0.0159 mouth=0.0000 sync=0.0000 our=0.8714 d_pos=1.3202 d_neg=1.3203 pos=0.0000 neg=0.0000 dn=3.4062
[ep1 iter700] loss=0.5202 latent=1.6134 same=0.5455 diff=0.0000 diff_dist=2.2327 silence=0.0149 smooth=0.8291 dA=3.5527 dN=3.4961 dZ=0.0149 mouth=0.0000 sync=0.0000 our=0.9004 d_pos=1.3418 d_neg=1.3402 pos=0.0000 neg=0.0000 dn=3.5527
[ep1 iter800] loss=0.5224 latent=1.6463 same=0.5891 diff=0.0000 diff_dist=3.1260 silence=0.0136 smooth=0.8021 dA=3.4531 dN=3.4746 dZ=0.0136 mouth=0.0000 sync=0.0000 our=0.8870 d_pos=1.3319 d_neg=1.3314 pos=0.0000 neg=0.0000 dn=3.4531
[ep1 iter900] loss=0.4927 latent=1.4970 same=0.4351 diff=0.0000 diff_dist=3.2071 silence=0.0137 smooth=0.8634 dA=3.5391 dN=3.6992 dZ=0.0137 mouth=0.0000 sync=0.0000 our=0.8665 d_pos=1.3165 d_neg=1.3167 pos=0.0000 neg=0.0000 dn=3.5391
[ep1 iter1000] loss=0.5611 latent=1.7744 same=0.5552 diff=0.0000 diff_dist=5.3893 silence=0.0147 smooth=1.0353 dA=3.8438 dN=4.1914 dZ=0.0147 mouth=0.0000 sync=0.0000 our=0.8776 d_pos=1.3248 d_neg=1.3253 pos=0.0000 neg=0.0000 dn=3.8438
[ep1 iter1100] loss=0.5050 latent=1.5812 same=0.6261 diff=0.0000 diff_dist=2.8821 silence=0.0139 smooth=0.7683 dA=3.3066 dN=3.3164 dZ=0.0139 mouth=0.0000 sync=0.0000 our=0.8698 d_pos=1.3189 d_neg=1.3203 pos=0.0000 neg=0.0000 dn=3.3066
[ep1 iter1200] loss=0.4748 latent=1.3975 same=0.4304 diff=0.0000 diff_dist=2.8619 silence=0.0127 smooth=0.9141 dA=3.6055 dN=3.8359 dZ=0.0127 mouth=0.0000 sync=0.0000 our=0.8614 d_pos=1.3125 d_neg=1.3123 pos=0.0000 neg=0.0000 dn=3.6055
[ep1 iter1300] loss=0.5450 latent=1.7506 same=0.6578 diff=0.0000 diff_dist=2.3029 silence=0.0150 smooth=0.8435 dA=3.1953 dN=3.3535 dZ=0.0150 mouth=0.0000 sync=0.0000 our=0.8862 d_pos=1.3313 d_neg=1.3311 pos=0.0000 neg=0.0000 dn=3.1953
[ep1 iter1400] loss=0.5311 latent=1.6558 same=0.5982 diff=0.0000 diff_dist=2.1201 silence=0.0133 smooth=0.8608 dA=3.5000 dN=3.6270 dZ=0.0133 mouth=0.0000 sync=0.0000 our=0.9088 d_pos=1.3477 d_neg=1.3485 pos=0.0000 neg=0.0000 dn=3.5000
[ep1 iter1500] loss=0.5145 latent=1.5620 same=0.7042 diff=0.0000 diff_dist=4.0432 silence=0.0139 smooth=0.9570 dA=3.6270 dN=4.0234 dZ=0.0139 mouth=0.0000 sync=0.0000 our=0.8819 d_pos=1.3280 d_neg=1.3291 pos=0.0000 neg=0.0000 dn=3.6270
[ep1 iter1600] loss=0.4699 latent=1.3406 same=0.5200 diff=0.0000 diff_dist=4.6699 silence=0.0126 smooth=0.8415 dA=4.0898 dN=4.1484 dZ=0.0126 mouth=0.0000 sync=0.0000 our=0.9074 d_pos=1.3468 d_neg=1.3482 pos=0.0000 neg=0.0000 dn=4.0898
[ep1 iter1700] loss=0.4586 latent=1.3816 same=0.5572 diff=0.0000 diff_dist=2.6430 silence=0.0120 smooth=0.6426 dA=3.2832 dN=3.2637 dZ=0.0120 mouth=0.0000 sync=0.0000 our=0.8702 d_pos=1.3192 d_neg=1.3170 pos=0.0000 neg=0.0000 dn=3.2832
[ep1 iter1800] loss=0.5748 latent=1.9201 same=0.6851 diff=0.0000 diff_dist=2.2992 silence=0.0124 smooth=0.7698 dA=3.5527 dN=3.5234 dZ=0.0124 mouth=0.0000 sync=0.0000 our=0.8740 d_pos=1.3221 d_neg=1.3221 pos=0.0000 neg=0.0000 dn=3.5527
[ep1 iter1900] loss=0.5437 latent=1.7601 same=0.6849 diff=0.0000 diff_dist=2.0689 silence=0.0123 smooth=0.7758 dA=3.4434 dN=3.3906 dZ=0.0123 mouth=0.0000 sync=0.0000 our=0.8813 d_pos=1.3275 d_neg=1.3279 pos=0.0000 neg=0.0000 dn=3.4434
[ep1 iter2000] loss=0.4828 latent=1.4818 same=0.7476 diff=0.0000 diff_dist=2.6465 silence=0.0131 smooth=0.6336 dA=3.1660 dN=3.0664 dZ=0.0131 mouth=0.0000 sync=0.0000 our=0.8991 d_pos=1.3408 d_neg=1.3400 pos=0.0000 neg=0.0000 dn=3.1660
[ep1 iter2100] loss=0.4970 latent=1.5854 same=0.6905 diff=0.0000 diff_dist=1.9057 silence=0.0114 smooth=0.5718 dA=3.2383 dN=3.2637 dZ=0.0114 mouth=0.0000 sync=0.0000 our=0.8751 d_pos=1.3229 d_neg=1.3229 pos=0.0000 neg=0.0000 dn=3.2383
[ep1 iter2200] loss=0.4884 latent=1.4946 same=0.7102 diff=0.0000 diff_dist=1.7270 silence=0.0124 smooth=0.6786 dA=3.8574 dN=3.4805 dZ=0.0124 mouth=0.0000 sync=0.0000 our=0.8839 d_pos=1.3296 d_neg=1.3294 pos=0.0000 neg=0.0000 dn=3.8574
[ep1 iter2300] loss=0.4636 latent=1.4015 same=0.5593 diff=0.0000 diff_dist=2.3235 silence=0.0107 smooth=0.6184 dA=3.3828 dN=3.4316 dZ=0.0107 mouth=0.0000 sync=0.0000 our=0.8837 d_pos=1.3294 d_neg=1.3291 pos=0.0000 neg=0.0000 dn=3.3828
[ep1 iter2400] loss=0.4961 latent=1.5072 same=0.6608 diff=0.0000 diff_dist=2.6441 silence=0.0115 smooth=0.7727 dA=3.5254 dN=3.5156 dZ=0.0115 mouth=0.0000 sync=0.0000 our=0.8970 d_pos=1.3394 d_neg=1.3389 pos=0.0000 neg=0.0000 dn=3.5254
[ep1 iter2500] loss=0.5130 latent=1.6571 same=0.7796 diff=0.0000 diff_dist=1.8402 silence=0.0104 smooth=0.6055 dA=3.2676 dN=3.1680 dZ=0.0104 mouth=0.0000 sync=0.0000 our=0.8739 d_pos=1.3220 d_neg=1.3221 pos=0.0000 neg=0.0000 dn=3.2676
[ep1 iter2600] loss=0.4599 latent=1.3370 same=0.5577 diff=0.0000 diff_dist=3.2114 silence=0.0102 smooth=0.7274 dA=3.5664 dN=3.5977 dZ=0.0102 mouth=0.0000 sync=0.0000 our=0.9005 d_pos=1.3418 d_neg=1.3418 pos=0.0000 neg=0.0000 dn=3.5664
[ep1 iter2700] loss=0.4835 latent=1.4888 same=0.7149 diff=0.0000 diff_dist=3.1480 silence=0.0101 smooth=0.7169 dA=3.3711 dN=3.3203 dZ=0.0101 mouth=0.0000 sync=0.0000 our=0.8618 d_pos=1.3129 d_neg=1.3127 pos=0.0000 neg=0.0000 dn=3.3711
[ep1 iter2800] loss=0.5352 latent=1.7252 same=0.7103 diff=0.0000 diff_dist=1.4617 silence=0.0099 smooth=0.6662 dA=3.1191 dN=3.1582 dZ=0.0099 mouth=0.0000 sync=0.0000 our=0.9175 d_pos=1.3543 d_neg=1.3546 pos=0.0000 neg=0.0000 dn=3.1191
[ep1 iter2900] loss=0.5822 latent=1.9655 same=1.0162 diff=0.0000 diff_dist=2.8729 silence=0.0123 smooth=0.7579 dA=3.3145 dN=3.2539 dZ=0.0123 mouth=0.0000 sync=0.0000 our=0.8642 d_pos=1.3146 d_neg=1.3145 pos=0.0000 neg=0.0000 dn=3.3145
[ep1 iter3000] loss=0.5003 latent=1.5467 same=0.6018 diff=0.0000 diff_dist=2.5441 silence=0.0102 smooth=0.7356 dA=3.4668 dN=3.5957 dZ=0.0102 mouth=0.0000 sync=0.0000 our=0.8926 d_pos=1.3360 d_neg=1.3352 pos=0.0000 neg=0.0000 dn=3.4668
