nohup: ignoring input
/home/jiweon/.conda/envs/adlip/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
latent: torch.Size([1, 4, 12, 12])
Loaded checkpoint: /home/jiweon/projects/ADLip2/results/batch2_alpha0.35_sync0.15_20260502_214513/best.pt
LatentSync loaded & frozen: /home/ihjung/MuseTalk/models/syncnet/latentsync_syncnet.pt
Our SyncNetTemporal loaded & frozen: /home/jiweon/projects/lip-sync-score/logs/syncnet_hdtf/checkpoints/best.pth
/home/jiweon/projects/ADLip2/train.py:417: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = GradScaler()
train videos=317 samples=15850
val videos=39 samples=1950
  samples saved: epoch 0
/home/jiweon/projects/ADLip2/train.py:498: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast():
[DEBUG our input] z_out_A= torch.Size([2, 16, 4, 12, 12]) z_out_scaled std= 4.169476509094238 z_gt std= 4.16947603225708 mel_pos= torch.Size([2, 80, 52])
[ep1 iter100] loss=0.8572 latent=1.3877 same=0.6860 diff=0.0000 diff_dist=4.0339 silence=0.0071 smooth=0.6757 dA=4.6523 dN=4.5977 dZ=0.0071 mouth=0.0000 sync=0.2339 our=1.0668 d_pos=1.4603 d_neg=1.4522 pos=0.4243 neg=0.2579 dn=4.6523
[ep1 iter200] loss=0.9042 latent=1.4903 same=0.5929 diff=0.0000 diff_dist=4.5887 silence=0.0041 smooth=0.9325 dA=4.8047 dN=5.1016 dZ=0.0041 mouth=0.0000 sync=0.0623 our=1.0609 d_pos=1.4563 d_neg=1.4334 pos=0.4035 neg=0.0319 dn=4.8047
[ep1 iter300] loss=0.9865 latent=1.7074 same=0.7098 diff=0.0000 diff_dist=1.9640 silence=0.0054 smooth=0.7082 dA=3.7715 dN=3.6719 dZ=0.0054 mouth=0.0000 sync=0.0000 our=1.0534 d_pos=1.4512 d_neg=1.4523 pos=0.6184 neg=0.1471 dn=3.7715
[ep1 iter400] loss=1.0387 latent=1.7411 same=0.8337 diff=0.0000 diff_dist=3.8587 silence=0.0071 smooth=0.8906 dA=4.3750 dN=4.5195 dZ=0.0071 mouth=0.0000 sync=0.2040 our=0.9938 d_pos=1.4098 d_neg=1.4092 pos=0.3437 neg=0.3477 dn=4.3750
[ep1 iter500] loss=0.9263 latent=1.5729 same=0.7070 diff=0.0000 diff_dist=2.2096 silence=0.0103 smooth=0.7376 dA=4.0352 dN=4.1172 dZ=0.0103 mouth=0.0000 sync=0.0000 our=1.0943 d_pos=1.4793 d_neg=1.4879 pos=0.7546 neg=0.1790 dn=4.0352
[ep1 iter600] loss=1.0171 latent=1.7346 same=0.7771 diff=0.0000 diff_dist=4.4348 silence=0.0091 smooth=0.8905 dA=4.5625 dN=4.6992 dZ=0.0091 mouth=0.0000 sync=0.0000 our=1.0316 d_pos=1.4364 d_neg=1.4239 pos=0.5779 neg=0.0595 dn=4.5625
[ep1 iter700] loss=0.9374 latent=1.5802 same=0.6862 diff=0.0000 diff_dist=5.0378 silence=0.0096 smooth=0.8443 dA=4.6641 dN=5.1328 dZ=0.0096 mouth=0.0000 sync=0.0000 our=1.0418 d_pos=1.4434 d_neg=1.4513 pos=0.6889 neg=0.2599 dn=4.6641
[ep1 iter800] loss=1.0561 latent=1.7953 same=0.8176 diff=0.0000 diff_dist=5.9460 silence=0.0064 smooth=1.0217 dA=4.8008 dN=5.2305 dZ=0.0064 mouth=0.0000 sync=0.0000 our=1.0527 d_pos=1.4508 d_neg=1.4504 pos=0.6255 neg=0.1121 dn=4.8008
[ep1 iter900] loss=0.9496 latent=1.5527 same=0.6468 diff=0.0000 diff_dist=5.0976 silence=0.0061 smooth=0.7532 dA=4.4648 dN=5.2969 dZ=0.0061 mouth=0.0000 sync=0.3140 our=1.0354 d_pos=1.4390 d_neg=1.4366 pos=0.2752 neg=0.3891 dn=4.4648
[ep1 iter1000] loss=0.8293 latent=1.3766 same=0.5198 diff=0.0000 diff_dist=4.8695 silence=0.0145 smooth=0.7495 dA=4.4727 dN=4.9180 dZ=0.0145 mouth=0.0000 sync=0.0000 our=1.0771 d_pos=1.4672 d_neg=1.4726 pos=0.4196 neg=0.1589 dn=4.4727
