10:43:42 HTTP Request: HEAD https://huggingface.co/stabilityai/sd-vae-ft-mse/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
10:43:42 HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/stabilityai/sd-vae-ft-mse/31f26fdeee1355a5c34592e401dd41e45d25a493/config.json "HTTP/1.1 200 OK"
10:43:42 HTTP Request: HEAD https://huggingface.co/stabilityai/sd-vae-ft-mse/resolve/31f26fdeee1355a5c34592e401dd41e45d25a493/diffusion_pytorch_model.safetensors.index.json "HTTP/1.1 404 Not Found"
10:43:42 Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
10:43:43 Loaded: /home/jiweon/projects/ADLip2/results/G2_best.pt
10:50:32 [ep31 iter100] loss=0.6311 latent=1.4280 same=0.3706 diff=0.0000 dist=4.7076 sil=0.0083 smo=0.6582 sync=0.0001 pos=0.7672 neg=0.0822 gan=0.2265 disc=0.2797 fm=0.1812 our=0.7634 d_pos=1.2355 d_neg=1.2228 delta_A=4.3257 dn=4.3257 grad_gen=6.1548 grad_our=0.3806
10:56:33 [ep31 iter200] loss=0.6592 latent=1.5414 same=0.4019 diff=0.0000 dist=6.7458 sil=0.0071 smo=0.6055 sync=0.0001 pos=0.7573 neg=0.0268 gan=0.2956 disc=0.2545 fm=0.2346 our=0.5331 d_pos=1.0325 d_neg=1.0791 delta_A=4.6146 dn=4.6146 grad_gen=6.0561 grad_our=0.3359
11:02:51 [ep31 iter300] loss=0.6195 latent=1.4897 same=0.4366 diff=0.0000 dist=5.4370 sil=0.0070 smo=0.6933 sync=0.0007 pos=0.5813 neg=0.0727 gan=0.3526 disc=0.2276 fm=0.2051 our=0.4249 d_pos=0.9051 d_neg=0.8933 delta_A=4.9537 dn=4.9537 grad_gen=1.9637 grad_our=0.2085
11:06:32 [ep31 iter400] loss=0.6200 latent=1.5518 same=0.3141 diff=0.0000 dist=4.1580 sil=0.0061 smo=0.5182 sync=0.0019 pos=0.5878 neg=0.0141 gan=0.3100 disc=0.2245 fm=0.2117 our=0.3580 d_pos=0.7694 d_neg=0.7777 delta_A=4.1974 dn=4.1974 grad_gen=1.9299 grad_our=0.1087
11:10:57 [ep31 iter500] loss=0.5982 latent=1.4264 same=0.3767 diff=0.0000 dist=7.9221 sil=0.0070 smo=0.8008 sync=0.0002 pos=0.7404 neg=0.1229 gan=0.3026 disc=0.2316 fm=0.2100 our=0.3652 d_pos=0.7963 d_neg=0.8042 delta_A=4.9334 dn=4.9334 grad_gen=0.7820 grad_our=0.0620
11:16:33 [ep31 iter600] loss=0.6096 latent=1.5622 same=0.5707 diff=0.0000 dist=6.0699 sil=0.0066 smo=0.7113 sync=0.0001 pos=0.8711 neg=0.1703 gan=0.3392 disc=0.2161 fm=0.1725 our=0.3522 d_pos=0.7331 d_neg=0.7418 delta_A=4.8943 dn=4.8943 grad_gen=1.2430 grad_our=0.0497
11:23:00 [ep31 iter700] loss=0.6496 latent=1.6715 same=0.6827 diff=0.0000 dist=4.0532 sil=0.0066 smo=0.5865 sync=0.0001 pos=0.6911 neg=0.0114 gan=0.3312 disc=0.2161 fm=0.2084 our=0.3526 d_pos=0.7106 d_neg=0.7175 delta_A=4.4920 dn=4.4920 grad_gen=0.8386 grad_our=0.0366
11:29:49 [ep31 iter800] loss=0.5898 latent=1.5104 same=0.4612 diff=0.0000 dist=3.9923 sil=0.0067 smo=0.7652 sync=0.0000 pos=0.8374 neg=0.0333 gan=0.3386 disc=0.2152 fm=0.1790 our=0.3523 d_pos=0.6886 d_neg=0.6969 delta_A=4.2264 dn=4.2264 grad_gen=5.1553 grad_our=0.0382
11:36:43 [ep31 iter900] loss=0.6071 latent=1.5901 same=0.4504 diff=0.0000 dist=6.3127 sil=0.0076 smo=0.5863 sync=0.0115 pos=0.7941 neg=0.4628 gan=0.3086 disc=0.2148 fm=0.1676 our=0.3521 d_pos=0.7129 d_neg=0.7214 delta_A=4.1215 dn=4.1215 grad_gen=4.3476 grad_our=0.0384
